5.583174725103078799e+02,1.894212927521021470e+02,5.526777454276170829e+02,1.870503645719856536e+02,5.422105547264731058e+02,1.835026926875188451e+02,2.449123000000000000e+06,6.300000000000000000e+01
5.543934646167784877e+02,1.926405637250691996e+02,5.484276292307928315e+02,1.900295527060200982e+02,5.384575033275817759e+02,1.865978739211062987e+02,2.499099000000000000e+06,6.500000000000000000e+01
5.523296132988850786e+02,1.943020893447489073e+02,5.466572343849885556e+02,1.919011329701659463e+02,5.360877088994130872e+02,1.883457435017495811e+02,2.524087000000000000e+06,6.600000000000000000e+01
5.506954789484356070e+02,1.956740647827351438e+02,5.446880567733492171e+02,1.933214238458666046e+02,5.340952710299847013e+02,1.896720179142482721e+02,2.549081000000000000e+06,6.700000000000000000e+01
5.491338333084811438e+02,1.968598779619874790e+02,5.426486904177256747e+02,1.947217481440803510e+02,5.320608423618614324e+02,1.913067509770876882e+02,2.574071000000000000e+06,6.800000000000000000e+01
5.473417688741386655e+02,1.982937202458325032e+02,5.412333445989539769e+02,1.962063470969588082e+02,5.298377018791780984e+02,1.930840250516820049e+02,2.599066000000000000e+06,6.900000000000000000e+01
5.462228348855113609e+02,1.998029218828340845e+02,5.396414925513828393e+02,1.975390567330665590e+02,5.280795115291125512e+02,1.944085824380911447e+02,2.624026000000000000e+06,7.000000000000000000e+01
5.448925746265359749e+02,2.012825797247111268e+02,5.381413478243761119e+02,1.993225303127169639e+02,5.263171957378053776e+02,1.962648114607266336e+02,2.649043000000000000e+06,7.100000000000000000e+01
5.437416822639743259e+02,2.029849250842007962e+02,5.366043757035421322e+02,2.009777006304727252e+02,5.246324294265664321e+02,1.979501307780883508e+02,2.674033000000000000e+06,7.200000000000000000e+01
5.425452509817548616e+02,2.047590940617103286e+02,5.352469772919971547e+02,2.027906559507916882e+02,5.227477425650408804e+02,1.999537719261065547e+02,2.699025000000000000e+06,7.300000000000000000e+01
5.416073233914115690e+02,2.066411950328046885e+02,5.340324015938284674e+02,2.047008214134322373e+02,5.209492279129340204e+02,2.023192782281684572e+02,2.724013000000000000e+06,7.400000000000000000e+01
5.405795082836974643e+02,2.081969051299057298e+02,5.325193731926666487e+02,2.069522223139440484e+02,5.191523396318457344e+02,2.047298949354402566e+02,2.749005000000000000e+06,7.500000000000000000e+01
5.394724488259996633e+02,2.099413101365415457e+02,5.314004227484841749e+02,2.087564056711854903e+02,5.174557669786788665e+02,2.070916031012557994e+02,2.773991000000000000e+06,7.600000000000000000e+01
