5.295593569535859615e+02,2.179091578440612125e+02,5.238081561407595927e+02,2.324655587529574348e+02,5.134363332648171081e+02,2.599916581568638208e+02,4.294400755543464925e+02,3.091721688133505950e+02,4.491088621003902972e+02,2.985386280838447988e+02,4.602241019079219200e+02,2.930861632419444049e+02,0.000000000000000000e+00
5.296075702542187855e+02,2.177874821764837918e+02,5.238318698953595458e+02,2.323827554956866095e+02,5.134759296634839529e+02,2.600644822439397217e+02,4.297068685679623741e+02,3.090780980602161776e+02,4.491884402086838577e+02,2.985899031456436319e+02,4.603671064674549598e+02,2.932368778806947489e+02,1.000333444481493750e-02
5.296079662595138871e+02,2.177845416409407449e+02,5.238292634687062446e+02,2.322908309341779898e+02,5.135434392740603471e+02,2.601013428068524149e+02,4.298391312792278427e+02,3.090941888332179701e+02,4.493405887178741409e+02,2.986537340145578696e+02,4.604889883131598936e+02,2.932914420262255248e+02,2.000666888962987500e-02
5.295942267231863525e+02,2.178001646148967154e+02,5.238187132619160593e+02,2.322340382232660261e+02,5.135804053927228097e+02,2.601016457279698670e+02,4.298934680764072596e+02,3.091248222100840621e+02,4.494858452151553365e+02,2.986816229503341447e+02,4.605858515969765108e+02,2.932867442462297731e+02,3.001000333444481250e-02
5.295968182258758361e+02,2.177463412247502959e+02,5.238159635926421061e+02,2.322490917823775192e+02,5.135391129841915472e+02,2.600659038805545720e+02,4.299246205426865117e+02,3.090873870206040124e+02,4.495530382236515834e+02,2.986345301290031671e+02,4.606561383670997429e+02,2.932591120597835470e+02,4.001333777925974999e-02
5.296103017130361650e+02,2.176708785119076879e+02,5.238073648715337640e+02,2.322885168024702125e+02,5.134918050793546627e+02,2.600069925154699035e+02,4.299665272303010397e+02,3.090445368058354916e+02,4.495635857664997275e+02,2.985790374269251970e+02,4.607243992418461289e+02,2.932386073963991180e+02,5.001667222407468749e-02
5.296113693392720734e+02,2.176588484053207253e+02,5.237737772650043553e+02,2.322729541779000328e+02,5.135362089642391084e+02,2.599420017466227932e+02,4.300325673003802649e+02,3.091023304835619001e+02,4.495812414985599048e+02,2.986030873722723413e+02,4.608226788396941629e+02,2.932417932866090382e+02,6.002000666888962499e-02
5.295941203733744942e+02,2.176170925920661432e+02,5.237446081369395188e+02,2.322019391920709381e+02,5.135839969418568671e+02,2.598746448791397938e+02,4.301072092236875619e+02,3.091881353151292160e+02,4.496111955060049468e+02,2.986267533875919753e+02,4.609489070191857536e+02,2.932488113332181001e+02,7.002334111370456249e-02
5.295665434965226268e+02,2.175262494627105241e+02,5.237447825440871156e+02,2.321157388943468334e+02,5.135862681349660761e+02,2.598014592940807006e+02,4.301653010260835686e+02,3.092311553710231351e+02,4.496483511096129178e+02,2.986065381358111495e+02,4.610584158670841362e+02,2.932346772039260827e+02,8.002667555851949999e-02
5.295494841560239365e+02,2.175186643920737026e+02,5.237730045734276700e+02,2.320798101981373520e+02,5.136101157127175156e+02,2.597167325211985371e+02,4.301827761156801557e+02,3.092289026597957218e+02,4.496917994224421591e+02,2.986049079582088552e+02,4.610729212722388297e+02,2.931874412590938164e+02,9.003001000333443749e-02
